dataset,mincoh,minsize,minsup,iterations,itemsets,time(ms),customtime,cellsize,eps,repartition,disabledpruning,storagethr,nexecutor,ncore,maxram,weeklyscale,timebucketthreshold,totalcells
geolife,0.0,10,2,55589,37283,14558, 16745,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,3,55539,27425,15411, 17638,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,5,55069,12080,16005, 18174,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,10,50784,2379,11470, 13465,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,15,42297,270,9491, 10960,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,2,55589,37283,14635, 16466,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,3,55539,27425,16075, 18242,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,5,55069,12080,15176, 18129,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,10,50784,2379,12618, 14399,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,15,42297,270,9397, 11121,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,2,55589,37283,14715, 16333,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,3,55539,27425,14049, 16148,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,5,55069,12080,15040, 17200,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,10,50784,2379,12299, 14098,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,15,42297,270,9940, 11618,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,2,55589,37283,15092, 16992,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,3,55539,27425,14827, 16886,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,5,55069,12080,13983, 16013,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,10,50784,2379,11606, 13461,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,15,42297,270,10798, 12415,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,2,55589,37283,15647, 17577,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,3,55539,27425,14823, 16717,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,5,55069,12080,14909, 16811,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,10,50784,2379,11242, 13277,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,15,42297,270,11302, 12970,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,2,55589,37283,15241, 17892,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,3,55539,27425,14678, 16412,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,5,55069,12080,15825, 17622,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,10,50784,2379,10462, 12223,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,15,42297,270,9051, 10761,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,2,55589,37283,13964, 16352,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,3,55539,27425,15427, 17518,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,5,55069,12080,14076, 16225,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,10,50784,2379,12398, 14278,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,15,42297,270,8916, 10821,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,2,55589,37283,14804, 16700,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,3,55539,27425,14220, 16057,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,5,55069,12080,15477, 17575,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,10,50784,2379,12266, 13919,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,15,42297,270,10035, 12334,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,2,55589,37283,14307, 16728,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,3,55539,27425,13178, 15218,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,5,55069,12080,14311, 16612,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,10,50784,2379,11883, 13783,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,15,42297,270,9876, 11657,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,2,55589,37283,15359, 17243,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,3,55539,27425,13561, 15430,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,5,55069,12080,15679, 18005,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,10,50784,2379,12768, 14563,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,10,15,42297,270,9164, 10986,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
